text,label
dont forget to cook guy i feel like i want to sleep forev destroy work make me stress realli like these new cloth tomorrow i plan to exercis with friend i swear there a lot of pressur today i cant stand thi burden anymor depress final abl to sleep in peac,0
realli like thi book just had meatbal realli delici i feel like i just want to go suicid dont forget to eat guy i feel like i just want to scream watch music is fun too peopl dont understand how empti it feel worri ive been feel empti for day,0
work make me stress insomnia realli like these new cloth final you can shop in peac i swear it realli a problem today,0
everi night i sleep forev until morn morn spirit hope you have a good day today im learn to code it quit difficult but fun whi is life so empti stress tomorrow i plan to sleep with a friend whi is life so sad morn spirit i hope today will be fun i need help depress strike again quiet,0
final abl to eat in peac i cant stand thi pressur anymor watch excit game too work make me burden today the weather is happi just had coffe realli delici,0
tomorrow i plan to sleep with a friend let go on holiday to the cinema peopl dont understand what it like to be useless dont forget to shop guy work make me stress suicid ive been feel empti all day worri,0
morn spirit i hope today will be fun peopl dont understand what it like to be tire i need help depress strike again quiet everi night he goe on until morn ive been feel heavi for a month i cant stand thi pressur anymor i cant stand thi depress anymor suicid i need help problem strike again dead,1
i cant stand thi pressur anymor let go on holiday to the cinema realli like these new cloth i cant stand thi pressur anymor im studi music it quit difficult but fun ive been feel confus for day tire work make me depress,1
watch new cloth is fun too ive been feel realli heavi late i just feel like give up i feel like i just want to go realli like thi game tomorrow i plan to exercis with friend im learn to code it quit difficult but fun i need help the burden strike again quiet,0
realli like thi film watch excit game too still learn the game it quit difficult but fun watch new cloth is fun too watch code is fun too let go on holiday to the park just had fri rice it realli delici morn spirit hope today goe smoothli,0
realli like these new cloth whi is life so empti i feel so empti late ive been feel useless for day stress everi night i scream until morn suicid,0
everi night i cri until morn everi night he goe on until morn i need help stress strike again anxieti dont forget to shop guy today the weather is beauti final abl to eat in peac,1
realli like thi game everi night i cri until morn dead i feel veri tire late morn spirit hope you have a good day today watch new cloth is fun too,1
im studi book it quit difficult but fun i just feel like cri work make me anxiou im studi film it quit difficult but fun,1
let go on holiday to the cafe i just feel like cri anxieti today the weather is happi peopl dont understand what it like to be sad i cant stand thi pressur anymor i swear i feel realli depress today i cant stand thi pressur anymor ive been feel empti for day,1
realli like these new cloth whi is life so sad dizzi i cant stand thi problem anymor watch excit game too ive been feel realli heavi late alon today the weather is pleasant peopl dont understand what it like to be hopeless,1
final i can cook in peac i cant stand thi burden anymor tomorrow i plan to go out with friend im studi film it quit difficult but fun,0
work make me stress stress morn spirit hope today goe smoothli let go on holiday to the mall work make me stress worri whi is life so tire panic attack ive been feel confus all day morn spirit hope you have a good day today,1
i just feel like give up just had fri rice it realli delici tomorrow i plan to go shop with a friend work make me burden stress,0
everi night i cri until morn ive been feel veri sad late it been a month sinc i felt hopeless i swear i feel realli anxiou today i feel like i just want to go ive been feel veri sad late,1
im studi film it quit difficult but fun morn spirit hope you have a beauti day today watch excit game too let go on holiday to the park let go on holiday to the cafe today the weather is good let go on holiday to the beach,0
today the weather is smooth peopl dont understand what it like to be mess up today the weather is good i swear i feel realli stress today crazi,0
dont forget to shop guy tomorrow i plan to eat with friend everi night i give up until morn i feel veri hopeless late today the weather is smooth,0
let go on holiday to the mall i feel so useless late traumat everi night i cri until morn i swear there a lot of pressur today today the weather is good just had coffe realli delici peopl dont understand what it like to be hopeless just had coffe realli delici,0
peopl dont understand what it like to be useless let go on holiday to the mountain im studi film it quit difficult but fun final i can cook in peac i feel like i just want to scream i cant stand thi burden anymor dizzi,1
i cant stand thi burden anymor ive been feel tire all day work make me stress crazi realli like thi book i just feel like give up watch new cloth is fun too watch new cloth is fun too i swear i feel realli depress today,0
dont forget to go for a walk guy realli like thi game just had chicken noodl realli delici i need help anxieti attack again it been a month sinc i felt hopeless anxieti whi is life so hopeless worri morn spirit i hope today will be fun tomorrow i plan to eat with friend,0
let go on holiday to the cinema tomorrow i plan to eat with friend realli like thi film final i can walk around in peac realli like thi film morn spirit hope today goe smoothli,0
final i can walk around in peac let go on holiday to the beach i feel like i just want to go worri i just feel like cri,0
just had fri rice it realli delici watch new cloth is fun too i just feel like give up whi is life so empti peopl dont understand how hard it feel ive been feel confus all day everi night i scream until morn peopl dont understand what it like to be tire,1
work make me stress hate today the weather is good peopl dont understand how hard it feel tire let go on holiday to the park,1
i cant stand thi pressur anymor i feel like i just want to go final i can walk around in peac tomorrow i plan to exercis with friend final i can cook in peac final abl to eat in peac realli like these new cloth,1
