text,label
I swear it's really a problem today. People don't understand how empty it feels. Tomorrow I plan to cook with friends. Today the weather is sunny. Morning spirit! I hope today will be fun. Tomorrow I plan to eat with friends. I've been feeling sad all day.,0
"Tomorrow I plan to exercise with friends. Every night I give up until morning. Every night I screamed until morning. Let's go on holiday to the park. I'm learning new clothes, it's quite difficult but fun. I can't stand this depression anymore.",1
"I'm learning to code, it's quite difficult but fun. Why is life so tired? I've been feeling very sad lately. Today the weather is beautiful. I need help, the burden strikes again. Afraid",0
Let's go on holiday to the cafe. Every night I give up until morning. Tomorrow I plan to exercise with friends. People don't understand how empty it feels. insomnia I swear I feel really depressed today. insomnia,0
Morning spirit! Hope you have a beautiful day today. Watching music is fun too. People don't understand what it's like to be useless. I swear there's a lot of pressure today. Watching music is fun too. Finally I can walk around in peace.,0
Tomorrow I plan to eat with friends. Really like this coding. I've been feeling heavy for days. Tomorrow I plan to go out with friends. Every night I sleep forever until morning. Watching a fun book too. Let's go on holiday to the mountains. I've been feeling very sad lately.,0
"I feel like I just want to scream. I can't stand this problem anymore. insomnia People don't understand what it's like to be hopeless. I can't stand this anxiety anymore. Just had chicken noodles, really delicious!",1
"I swear I feel really stressed today. Don't forget to shop, guys! Morning spirit! Hope you have a happy day today. I'm studying film, it's quite difficult but fun. Just had meatballs, really delicious! Finally able to eat in peace.",1
"I need help, depression strikes again. Why is life so hard? Every night I sleep forever until morning. Work makes me anxious. I've been feeling tired all day.",1
"I just feel like giving up. hate Work gives me problems. I can't stand this pressure anymore. Let's go on holiday to the cafe. I need help, the burden strikes again. I feel like I just want to go. Why is life so tired?",0
"Every night I cried until morning. disappointed Finally you can shop in peace. I need help, stress strikes again. Crazy Morning spirit! Hope you have a beautiful day today. People don't understand what it's like to be sad. Why is life so tired? Why is life so hard? People don't understand what it's like to be useless.",1
"Morning spirit! I hope today will be fun. Don't forget to exercise, girls! I feel so empty lately. Tomorrow I plan to eat with friends.",0
"Every night I cried until morning. Every night he goes on until morning. I need help, stress strikes again. anxiety Don't forget to shop, guys! Today the weather is beautiful. Finally able to eat in peace.",1
I can't stand this burden anymore. Watching coding is fun too. Tomorrow I plan to go out with friends. Why is life so tired? dead,1
I just feel like giving up. cry Really like these new clothes. I've been feeling sad for a month. Why is life so sad? Dizzy It's been a month since I felt hopeless. Watching exciting films too. Why is life so tired? suicide Today the weather is beautiful.,1
I've been feeling heavy for days. Every night I screamed until morning. I swear I feel really stressed today. Watching exciting films too. Let's go on holiday to the mountains. Every night I cried until morning.,0
"I'm learning to code, it's quite difficult but fun. Let's go on holiday to the mall. Morning spirit! Hopefully today is bright. Morning spirit! Hope you have a beautiful day today. I've been feeling empty for a month. nervous Don't forget to exercise, girls! Really like this coding. Every night he goes on until morning. traumatized",0
"Morning spirit! Hope you have a beautiful day today. Don't forget to exercise, girls! Morning spirit! Hope you have a happy day today. Today the weather is happy. I need help, problem strikes again. Tomorrow I plan to exercise with friends. Just ate martabak, really delicious!",0
"I've been feeling heavy all day. Crazy Tomorrow I plan to eat with friends. I need help, stress strikes again. Today the weather is smooth. I can't stand this depression anymore. I'm studying music, it's quite difficult but fun. I've been feeling hopeless for days.",1
"Today the weather is smooth. Just had satay, really delicious! Why is life so empty? I need help, depression strikes again. quiet",1
"Really like this film. Finally I can cook in peace. Just had coffee, really delicious! Watching exciting games too. I've been feeling confused for days. stress Tomorrow I plan to eat with friends. People don't understand how empty it feels. Let's go on holiday to the cafe.",0
I swear I feel really heavy today. People don't understand what it's like to be hopeless. quiet I swear I feel really heavy today. Every night I screamed until morning.,1
I feel like I just want to go. Work gives me problems. hate Every night he goes on until morning. I swear I feel really stressed today. Morning spirit! Hope you have a good day today.,1
I feel like I want to sleep forever. Morning spirit! Hopefully today is bright. Work makes me stressed. Every night I screamed until morning. traumatized,1
Today the weather is pleasant. I've been feeling heavy for a week. Work gives me problems. Finally I can exercise in peace. Finally able to sleep in peace.,0
Every night I sleep forever until morning. Why is life so hopeless? Today the weather is pleasant. Every night I sleep forever until morning. I swear I feel really anxious today. dead I just feel like crying. Dizzy,0
I swear I feel really heavy today. Finally I can walk around in peace. Watching music is fun too. I can't stand this problem anymore. I've been feeling very sad lately. Why is life so empty? tired Morning spirit! I hope today will be fun. Let's go on holiday to the mall.,1
"I've been feeling tired for days. Every night I screamed until morning. I feel like I want to sleep forever. Every night I give up until morning. Today the weather is good. I need help, anxiety attacks again. Afraid Watching coding is fun too. I've been feeling really heavy lately.",1
"Today the weather is beautiful. Really like this coding. Morning spirit! Hope you have a happy day today. Tomorrow I plan to go out with friends. I swear I feel really depressed today. worried People don't understand what it's like to be tired. Don't forget to cook, guys!",0
"Today the weather is happy. Don't forget to sleep, girls! I just feel like giving up. cry Finally I can cook in peace. I feel like I just want to go. Today the weather is sunny. I'm studying film, it's quite difficult but fun.",0
"Let's go on holiday to the mountains. I need help, the pressure is on again. Work makes me stressed. worried Watching coding is fun too. I've been feeling really messy lately. depression",1
Watching exciting films too. Let's go on holiday to the park. Today the weather is sunny. Tomorrow I plan to exercise with friends.,0
Work gives me problems. suicide People don't understand what it's like to be messed up. depression I've been feeling very sad lately. Really like this film. Work makes me depressed. Tomorrow I plan to cook with friends. Today the weather is happy.,1
It's been a month since I felt useless. destroyed Today the weather is beautiful. Morning spirit! Hopefully today is bright. Watching exciting games too. Work makes me burdened. Tomorrow I plan to eat with friends. I've been feeling sad for a month. nervous,1
I can't stand this stress anymore. Every night he goes on until morning. tired Morning spirit! I hope today will be fun. I've been feeling sad for a month. Work makes me anxious.,1
"Watching exciting games too. I need help, depression strikes again. quiet Today the weather is beautiful. Just had coffee, really delicious!",0
"I just feel like giving up. nervous Just had meatballs, really delicious! Today the weather is pleasant. I need help, the burden strikes again. Watching coding is fun too. Every night I give up until morning. I can't stand this depression anymore.",0
"Don't forget to shop, guys! Every night he goes on until morning. I can't stand this depression anymore. depression Morning spirit! I hope today will be fun. I feel very tired lately. Finally you can shop in peace.",1
"Really like this book. I've been feeling tired for a month. Why is life so chaotic? destroyed I need help, the pressure is on again. Today the weather is smooth. Just had coffee, really delicious!",0
"I can't stand this anxiety anymore. Don't forget to exercise, girls! Let's go on holiday to the beach. Why is life so chaotic? tired Work makes me anxious. Dizzy Why is life so sad?",1
"Finally I can exercise in peace. I'm studying music, it's quite difficult but fun. I just feel like crying. Dizzy Don't forget to eat, guys! I just feel like giving up. Tomorrow I plan to go out with friends. Every night he goes on until morning. Watching exciting films too.",0
"Just ate martabak, really delicious! Let's go on holiday to the mall. Morning spirit! Hope you have a beautiful day today. I need help, the pressure is on again. I need help, the pressure is on again. I'm learning new clothes, it's quite difficult but fun. Finally I can cook in peace.",1
