text,label
"Aku merasa sangat produktif dan bahagia hari ini. Cuaca hari ini sangat mendukung untuk nongkrong. Hari ini cuaca sangat bagus dan cerah. Baru saja makan bakso, enak banget!",0
"Baru saja makan bakso, enak banget! Liburan ke gunung yuk. Jangan lupa makan ya gais! Aku merasa sangat hampa akhir-akhir ini.",0
"Besok rencana mau belanja sama teman. Akhirnya akhir pekan tiba, waktunya bersantai. Lagi belajar kodingan, lumayan susah tapi asik. Jangan lupa belanja ya gais! Akhirnya bisa jalan-jalan dengan tenang. Sudah seminggu aku merasa putus asa.",0
"Baru saja makan bakso, enak banget! Terima kasih atas bantuan teman-teman semua. Baru saja makan bakso, enak banget! Besok rencana mau belanja sama teman. Tiap malam aku ga bisa tidur mikirin beban hidup.",0
"Aku benci diriku sendiri. Liburan ke gunung yuk. Akhirnya akhir pekan tiba, waktunya bersantai. Akhirnya bisa jalan-jalan dengan tenang. Besok aku akan lari pagi agar lebih sehat. Akhirnya akhir pekan tiba, waktunya bersantai. Tiap malam aku ga bisa tidur mikirin beban hidup.",0
"Baru saja makan bakso, enak banget! Besok aku akan lari pagi agar lebih sehat. Besok rencana mau belanja sama teman. Akhirnya akhir pekan tiba, waktunya bersantai. Jangan lupa belanja ya gais! Pekerjaanku selesai lebih awal hari ini.",0
"Aku merasa sangat kacau akhir-akhir ini. Semua terasa sia-sia, aku ingin nyerah. Aku lelah berpura-pura baik-baik saja. Aku butuh bantuan, beban menyerang lagi. Orang-orang gak ngerti gimana rasanya sedih dan hancur. Orang-orang gak ngerti gimana rasanya sedih dan hancur.",1
Tiap malam aku ga bisa tidur mikirin beban hidup. Kenapa tidak ada yang peduli padaku? Aku benci diriku sendiri. Setiap hari rasanya berat sekali untuk dijalani.,1
Besok aku akan lari pagi agar lebih sehat. Senangnya bisa berkumpul bersama keluarga. Wah filmnya ternyata sangat seru untuk ditonton. Wah filmnya ternyata sangat seru untuk ditonton. Cuaca hari ini sangat mendukung untuk nongkrong.,0
Buku yang kubaca hari ini sangat menginspirasi. Hari ini cuaca sangat bagus dan cerah. Pekerjaanku selesai lebih awal hari ini. Aku merasa sangat produktif dan bahagia hari ini.,0
"Semangat pagi! Semoga harimu indah. Aku merasa sangat produktif dan bahagia hari ini. Masa depanku terlihat sangat gelap dan suram. Hari ini cuaca sangat bagus dan cerah. Jangan lupa makan ya gais! Lagi belajar kodingan, lumayan susah tapi asik.",0
"Aku merasa sangat hampa akhir-akhir ini. Aku lelah berpura-pura baik-baik saja. Orang-orang gak ngerti gimana rasanya sedih dan hancur. Aku lelah berpura-pura baik-baik saja. Aku merasa sangat hampa akhir-akhir ini. Akhirnya akhir pekan tiba, waktunya bersantai. Masa depanku terlihat sangat gelap dan suram.",1
"Rasanya pengen nangis aja. Aku merasa sangat hampa akhir-akhir ini. Sudah seminggu aku merasa putus asa. Semua terasa sia-sia, aku ingin nyerah. Aku merasa sangat hampa akhir-akhir ini. Rasanya pengen pergi aja untuk selamanya.",1
Kenapa hidup ini begitu kacau? Setiap hari rasanya berat sekali untuk dijalani. Rasanya pengen pergi aja untuk selamanya. Aku lelah berpura-pura baik-baik saja. Besok rencana mau masak sama teman.,1
"Aku lelah berpura-pura baik-baik saja. Aku benci diriku sendiri. Aku lelah berpura-pura baik-baik saja. Jangan lupa belanja ya gais! Aku butuh bantuan, beban menyerang lagi. Aku merasa sangat produktif dan bahagia hari ini.",1
"Semua terasa sia-sia, aku ingin nyerah. Gak kuat lagi sama tekanan ini. Aku merasa sangat kacau akhir-akhir ini. Aku benci diriku sendiri. Hari ini cuaca sangat bagus dan cerah. Besok rencana mau masak sama teman.",1
"Terima kasih atas bantuan teman-teman semua. Akhirnya akhir pekan tiba, waktunya bersantai. Jangan lupa belanja ya gais! Liburan ke gunung yuk. Cuaca hari ini sangat mendukung untuk nongkrong. Hari ini cuaca sangat bagus dan cerah.",0
Senangnya bisa berkumpul bersama keluarga. Aku benci diriku sendiri. Setiap hari rasanya berat sekali untuk dijalani. Kepalaku mau pecah rasanya dengan semua masalah ini. Kecemasanku kambuh lagi hari ini. Gak kuat lagi sama tekanan ini. Terlalu banyak pikiran merusak hariku.,1
"Terima kasih atas bantuan teman-teman semua. Besok rencana mau belanja sama teman. Liburan ke pantai sangat menyenangkan. Lagi belajar kodingan, lumayan susah tapi asik. Wah filmnya ternyata sangat seru untuk ditonton. Aku merasa sangat produktif dan bahagia hari ini.",0
"Liburan ke pantai sangat menyenangkan. Akhirnya akhir pekan tiba, waktunya bersantai. Akhirnya bisa jalan-jalan dengan tenang. Akhirnya akhir pekan tiba, waktunya bersantai.",0
Rasanya pengen pergi aja untuk selamanya. Aku lelah berpura-pura baik-baik saja. Jangan lupa belanja ya gais! Hari ini cuaca sangat bagus dan cerah. Jangan lupa belanja ya gais! Besok rencana mau belanja sama teman. Wah filmnya ternyata sangat seru untuk ditonton.,0
"Hari ini cuaca sangat bagus dan cerah. Jangan lupa belanja ya gais! Semangat pagi! Semoga harimu indah. Akhirnya bisa jalan-jalan dengan tenang. Akhirnya akhir pekan tiba, waktunya bersantai. Semangat pagi! Semoga harimu indah.",0
Buku yang kubaca hari ini sangat menginspirasi. Kenapa hidup ini begitu kacau? Jangan lupa makan ya gais! Cuaca hari ini sangat mendukung untuk nongkrong. Liburan ke pantai sangat menyenangkan. Hari ini cuaca sangat bagus dan cerah.,0
Kepalaku mau pecah rasanya dengan semua masalah ini. Besok aku akan lari pagi agar lebih sehat. Semangat pagi! Semoga harimu indah. Liburan ke gunung yuk. Orang-orang gak ngerti gimana rasanya sedih dan hancur. Akhirnya bisa jalan-jalan dengan tenang.,0
